time[d],date,hour,debug1,debug2,debug3,debug4,debug5
84,1984-12-24,00:00:00.00,0.914863,0,0,0,1885.63
85,1984-12-25,00:00:00.00,0.914863,0,0,0,1885.63
86,1984-12-26,00:00:00.00,0.914863,0,0,0,1885.63
87,1984-12-27,00:00:00.00,0.914863,0,0,0,1885.63
88,1984-12-28,00:00:00.00,0.914863,0,0,0,1885.63
89,1984-12-29,00:00:00.00,0.914863,0,0,0,1885.63
90,1984-12-30,00:00:00.00,0.914863,0,0,0,1885.63
91,1984-12-31,00:00:00.00,0.914863,0,0,0,1885.63
92,1985-01-01,00:00:00.00,0.914863,0,0,0,1885.63
93,1985-01-02,00:00:00.00,0.914863,0,0,0,1885.63
94,1985-01-03,00:00:00.00,0.914863,0,0,0,1885.63
95,1985-01-04,00:00:00.00,0.914863,0,0,0,1885.63
96,1985-01-05,00:00:00.00,0.914863,0,0,0,1885.63
97,1985-01-06,00:00:00.00,0.914863,0,0,0,1885.63
98,1985-01-07,00:00:00.00,0.914863,0,0,0,1885.63
99,1985-01-08,00:00:00.00,0.914863,0,0,0,1885.63
100,1985-01-09,00:00:00.00,0.914863,0,0,0,1885.63
101,1985-01-10,00:00:00.00,0.914863,0,0,0,1885.63
102,1985-01-11,00:00:00.00,0.914863,0,0,0,1885.63
103,1985-01-12,00:00:00.00,0.914863,0,0,0,1885.63
104,1985-01-13,00:00:00.00,0.914863,0,0,0,1885.63
105,1985-01-14,00:00:00.00,0.914863,0,0,0,1885.63
106,1985-01-15,00:00:00.00,0.914863,0,0,0,1885.63
107,1985-01-16,00:00:00.00,0.914863,0,0,0,1885.63
108,1985-01-17,00:00:00.00,0.914863,0,0,0,1885.63
109,1985-01-18,00:00:00.00,0.914863,0,0,0,1885.63
110,1985-01-19,00:00:00.00,0.914863,0,0,0,1885.63
111,1985-01-20,00:00:00.00,0.914863,0,0,0,1885.63
112,1985-01-21,00:00:00.00,0.914863,0,0,0,1885.63
113,1985-01-22,00:00:00.00,0.914863,0,0,0,1885.63
114,1985-01-23,00:00:00.00,0.914863,0,0,0,1885.63
115,1985-01-24,00:00:00.00,0.914863,0,0,0,1885.63
